Track Name,Tempo Mean,Chroma Mean,Chroma Std,RMS Mean,RMS Std,Mel Spectrogram Mean,Mel Spectrogram Std,Zero Crossing Rate Mean,Zero Crossing Rate Std,Spectral Centroid Mean,Spectral Centroid Std,Spectral Bandwidth Mean,Spectral Bandwidth Std,Spectral Contrast Mean,Spectral Contrast Std,Spectral Flatness Mean,Spectral Flatness Std,Spectral Rolloff Mean,Spectral Rolloff Std,Genre
Yalan Dünya-Murat Dalkılıç,83.35433467741936,0.33443454,0.29123297,0.2841696,0.06817111,17.670372,91.82215,0.13600196838378906,0.05376973953843911,2856.9717289079836,597.880345524488,2726.4372243017665,263.24574414837406,23.103037863186337,11.420671833658881,0.030238587,0.029586282,6120.846633911133,1030.368726163111,Pop
Kırk Yılda Bir Gibisin-Emrah Karaduman,129.19921875,0.47026795,0.28588834,0.32586813,0.070569865,23.695776,145.14845,0.12582817077636718,0.08460233005241542,3013.095809045801,918.508349639452,2872.818657651938,335.1564818642724,21.10251541063464,11.024640215433529,0.052652787,0.062316436,6455.814113616943,1511.999272409356,Pop
Leyla-Murat Dalkılıç,95.703125,0.4563427,0.29460874,0.27082643,0.10699697,18.991117,147.93016,0.1026580810546875,0.06621354690124798,2488.2554440314157,719.907913750419,2643.795827438439,331.86767323144903,21.789247871088328,11.229643292560944,0.02658121,0.03478652,5464.723205566406,1407.4087872078305,Pop
Kasaba-Murat Dalkılıç,129.19921875,0.40730128,0.29207736,0.18100859,0.07935772,7.943911,49.00932,0.15197334289550782,0.07339740125812431,2953.5683966945617,711.9495439884068,2692.717146538604,321.3896351861357,21.97700529628679,12.523009798613984,0.039048433,0.035092693,6166.285057067871,1090.0245327239058,Pop
Bir Hayli-Murat Dalkılıç,129.19921875,0.35718724,0.29698658,0.26472855,0.08517643,16.106083,93.75639,0.1446979522705078,0.09243263470343258,2997.074474766369,925.55893593293,2787.5356020826175,288.77849680774625,22.337586417454457,11.18799892484548,0.03661998,0.03413373,6260.433940887451,1339.2569056276268,Pop
Aşinayız-Murat Dalkılıç,129.19921875,0.4317249,0.28115612,0.2746133,0.05780423,16.784367,95.163795,0.11767539978027344,0.05507599745222441,2781.1573605087724,775.9812163022732,2774.2110011211853,338.5300075215693,22.401275191665952,11.937294295809535,0.030395653,0.031489182,6126.44021987915,1372.7153215491394,Pop
Sevdanın Tadı-Murat Dalkılıç,86.1328125,0.39675763,0.2962637,0.20323734,0.084304556,10.627029,88.18536,0.11097679138183594,0.06634114146668853,2628.553206570516,835.7230114746833,2725.369531073852,417.4380956657535,23.233787181296584,11.905053051360463,0.022612905,0.02576094,5857.292003631592,1638.7604013558741,Pop
Bu Nasıl Aşk-Murat Dalkılıç,129.19921875,0.44951195,0.2920506,0.32996073,0.12461397,28.281046,258.2357,0.10003929138183594,0.06689560424573252,2655.6363087824493,806.343407896918,2775.0676441834166,289.0656569480476,21.83412055966276,11.782530523448674,0.0310395,0.03595781,5909.367027282715,1348.0305836124608,Pop
Neyleyim İstanbulu-Murat Dalkılıç,86.1328125,0.35016727,0.29710814,0.286985,0.07866866,18.259193,83.990295,0.1302783966064453,0.08338709053639028,2598.1099750250896,898.2028670209004,2555.504070203499,394.55873320079826,23.488673890938255,11.570643567793613,0.02587052,0.036486797,5317.498340606689,1648.499381612496,Pop
Soktuğu Duruma Bak-Murat Dalkılıç,123.046875,0.38480613,0.27747324,0.36097696,0.06888853,29.71412,164.90056,0.10228462219238281,0.04254123119659528,2671.2979570942543,586.6299690724078,2788.091392049237,320.17439352281303,22.598030220381077,11.274719330966272,0.028456476,0.026814329,6063.472423553467,1296.1736063028914,Pop
CAN-Murat Dalkılıç,112.34714673913044,0.37637755,0.29320735,0.14959829,0.07062752,6.256068,51.241463,0.06663246154785156,0.04157380506524816,1909.7857652665057,697.5358757988291,2296.904559066992,362.24670334367545,24.408197345273592,11.70899427029085,0.006361852,0.009475731,4160.374660491943,1342.8264080699048,Pop
Derine-Murat Dalkılıç,123.046875,0.46528924,0.28082496,0.30836213,0.09802834,23.72414,214.90181,0.0877105712890625,0.04916213796953562,2503.837105998374,670.7491701374141,2724.019153153948,341.799455541324,22.2281057810707,11.467570064487797,0.025662497,0.03574245,5680.492630004883,1402.4356242426163,Pop
Bir Güzellik Yap-Murat Dalkılıç,63.02400914634146,0.39335665,0.29115507,0.3048101,0.10457192,22.895412,169.23819,0.11484031677246094,0.06846402922479872,2896.978783575035,797.3747136511425,2878.146470423629,338.91356554649207,22.79446450337855,11.917543518962095,0.03213988,0.035401836,6461.172180175781,1387.4140528583662,Pop
Son Liman-Murat Dalkılıç,123.046875,0.42122746,0.2924861,0.2945149,0.08669192,20.30186,146.18933,0.125823974609375,0.06762611443725981,2919.5195699064425,847.1281213014956,2856.1214534279075,366.56126793111235,22.14882796613533,11.791933926562857,0.035449825,0.036748342,6438.023986816406,1484.2177431887017,Pop
La Fontaine-Murat Dalkılıç,129.19921875,0.45736,0.2763402,0.2310402,0.08616458,12.785667,91.442154,0.15698471069335937,0.0809787417106555,3145.437101513032,861.1341581761774,2822.8419216099346,334.7305498927956,22.05876173490622,11.948263863092771,0.049793627,0.048983086,6518.386573791504,1354.874619287492,Pop
Yani-Murat Dalkılıç,95.703125,0.4645729,0.2933066,0.27924126,0.15341322,23.058567,288.44803,0.10478591918945312,0.06261206176502893,2746.7979135108685,719.4533743019414,2761.8805290494024,287.774025389608,22.1691663906138,12.047845886603174,0.031783175,0.036077026,6073.498821258545,1218.0117580471704,Pop
Lüzumsuz Savaş-Murat Dalkılıç,107.666015625,0.3663831,0.2855089,0.2693238,0.06748006,16.090393,83.022125,0.13196487426757814,0.056503344517006227,2673.730984317696,661.7554281302065,2635.580510807282,315.4821453789216,23.364312080124154,12.190798068366918,0.022175854,0.021861617,5697.7276039123535,1217.8348240146797,Pop
Nefes-Murat Dalkılıç,95.703125,0.34383532,0.30813852,0.29873642,0.08093155,22.085812,133.86142,0.07307510375976563,0.06582350018798654,2134.6249952016924,994.7158642152366,2582.5301774110726,537.0587318512813,22.822421662192287,11.172038021257096,0.012869966,0.02439597,4880.222911834717,2132.5453765247353,Pop
Kiyamadim Ikimize-Murat Dalkılıç,135.99917763157896,0.38194302,0.2781202,0.25995627,0.05126363,15.051428,76.68231,0.12133407592773438,0.04833813658864269,2670.209776316324,629.6154674115355,2710.1711492388995,306.6142829640785,23.48427998930981,11.755658257541702,0.026842613,0.02774084,5846.676807403564,1229.2609648724087,Pop
İki Yol-Murat Dalkılıç,129.19921875,0.45475423,0.30023167,0.29708838,0.12799002,23.940975,246.94745,0.09562187194824219,0.06571592315639925,2697.1666177759394,881.4759020903654,2848.4014178592943,318.75520941278137,22.050765771391728,11.393137450832421,0.028112035,0.03447208,6127.205657958984,1451.9976601928201,Pop
Kader-Murat Dalkılıç,129.19921875,0.44700152,0.2876288,0.36512128,0.11714388,33.04304,292.053,0.09547882080078125,0.05576552444455221,2652.017320270529,782.9980022128261,2763.6075230802867,320.4992062660167,21.45788933372131,11.35434625991704,0.029996073,0.029764662,5892.527389526367,1389.2295551684629,Pop
Daha İyisi Gelene Kadar-Murat Dalkılıç,99.38401442307692,0.41469923,0.28371507,0.31242463,0.07035063,23.247053,160.79288,0.06899490356445312,0.03600328684265787,1972.049020393681,645.8831963233954,2274.3814586045883,438.2003739239885,22.812886040961576,11.613488720629183,0.0106769195,0.014549019,4183.0686378479,1494.2445486478268,Pop
Merhaba Merhaba-Murat Dalkılıç,123.046875,0.3961724,0.27720526,0.20269942,0.047619373,9.288708,50.996117,0.11905746459960938,0.0436980579308377,2600.5393622880947,590.6437804933978,2768.414949905872,359.4774873115751,22.795213260571895,12.657265658284379,0.023205718,0.022393156,5809.809608459473,1411.1324486101066,Pop
Kördüğüm-Murat Dalkılıç,92.28515625,0.30190757,0.29729646,0.22301742,0.06328375,11.280491,62.917072,0.11832809448242188,0.09401592205076896,2311.8794386894056,1047.363329158679,2250.714537465672,436.61277226492496,24.58767536538359,11.894962734566914,0.020022426,0.040411998,4454.664573669434,1747.2172422607105,Pop
Bi Dolu Hiç-Murat Dalkılıç,107.666015625,0.27740356,0.29975432,0.16243312,0.06462393,6.8349686,41.50599,0.07354812622070313,0.07446004830470146,1825.773908446081,1102.309717369718,2107.389349173512,732.6252427234048,26.496978190495064,11.438108390478359,0.009014858,0.024236845,3846.4945793151855,2066.542115593903,Pop
Rivayet-Murat Dalkılıç,135.99917763157896,0.37064928,0.28098792,0.358864,0.047130242,29.262547,131.81181,0.09058837890625,0.0478944920632333,2320.05597152457,771.1645139446587,2571.1801143227585,408.7134426041433,23.15839549853035,11.118509870413137,0.017895002,0.023293205,5160.43212890625,1550.4009289399114,Pop
Kulah-Murat Dalkılıç,129.19921875,0.44361597,0.2826283,0.2661336,0.071827054,16.485493,104.26535,0.11550483703613282,0.052657106588660595,2753.8215651507203,618.8635776935901,2761.8379629302744,296.2860922997266,21.84866445699917,12.078545572653587,0.03307999,0.028954567,6116.531581878662,1193.1930738641083,Pop
Ben Kalp Sen-Murat Dalkılıç,107.666015625,0.37698904,0.29246828,0.28997213,0.06321864,18.85826,84.72951,0.11147575378417969,0.06358329308694403,2515.7954264961872,849.5382064265344,2537.03923846188,372.11764536301854,23.136946894254567,11.97585114903114,0.022102341,0.025467873,5215.316562652588,1492.3225808337693,Pop
Müjgan-Murat Dalkılıç,123.046875,0.40645882,0.2942622,0.27453572,0.084982544,17.76669,126.7357,0.12573928833007814,0.08582399821676852,2787.0670456032185,927.910380596606,2676.7079948105643,328.33378118111557,22.31925079009276,12.627370341795439,0.030609116,0.03487007,5893.88162612915,1420.4624327417,Pop
Ben Bilmem-Murat Dalkılıç,123.046875,0.46574375,0.27925354,0.31381983,0.06834266,22.585243,157.80574,0.09966087341308594,0.055105719792241034,2569.084701631637,817.3041207961298,2563.3935481066947,425.8049868991918,22.35474214838229,12.302127921326862,0.030300593,0.037068702,5455.605239868164,1643.2179113502257,Pop
Donmem-Murat Dalkılıç,129.19921875,0.34226277,0.28872767,0.23277354,0.05123455,12.152009,51.354546,0.11075286865234375,0.05108986278990475,2488.5511212933216,633.0350028617358,2573.699679112232,263.57616597794464,23.187055332246583,11.664813635519,0.023636064,0.025125278,5451.508884429932,1082.4029208800455,Pop
Yerin Dibi-Murat Dalkılıç,143.5546875,0.36444858,0.30361694,0.2772746,0.094491616,18.19411,146.30647,0.14673080444335937,0.0955419428440896,3037.480816226842,1013.9518824995769,2767.133595255521,349.1947706779518,23.07033711063823,12.48242854622521,0.04338894,0.050332982,6311.1126708984375,1554.7608158881346,Pop
Afeta-Murat Dalkılıç,123.046875,0.37852496,0.3020554,0.26721972,0.095991895,18.474905,134.24594,0.0782989501953125,0.07241929385812805,2321.5414682601995,981.5535813425115,2587.541449766104,444.9028749576065,23.13857887691575,11.79639777260048,0.018088255,0.029904794,5183.714904785156,1832.4526792880854,Pop
Orta Yol-Murat Dalkılıç,143.5546875,0.45596656,0.2892239,0.17957585,0.08769509,9.23821,89.96652,0.05694236755371094,0.034488871347809105,1592.24412122649,748.0765451856424,1922.9726887081106,714.2870513520988,22.80013750421014,12.931430879390515,0.005744312,0.013166988,3450.5191612243652,1930.656667487186,Pop
Catlat-Murat Dalkılıç,99.38401442307692,0.39452294,0.2972181,0.19452658,0.07641355,9.435568,70.456604,0.1470172882080078,0.08557990440878076,2960.046599037545,797.9094535263217,2826.093386850944,285.4399684711604,22.45023491945869,11.8754641910359,0.03881499,0.039278813,6416.465549468994,1160.0980774441846,Pop
Bize Gidelim Beyler-Murat Dalkılıç,107.666015625,0.43424785,0.2880467,0.2717238,0.08730121,16.593708,106.90304,0.16314315795898438,0.07782833088400114,3371.7028879879203,832.5061311940117,2946.4143389772194,353.4182831175668,21.992976674642282,11.577979465373724,0.054073084,0.04633758,7029.253406524658,1250.622545550426,Pop
Cevapsız Sorular-Murat Dalkılıç,95.703125,0.33084723,0.29830468,0.11776669,0.045701787,2.9934235,23.019798,0.145770263671875,0.09454101618453623,2657.047791776805,1030.3695000758794,2377.63524207697,447.3761579052951,26.023329313413218,11.102948006221183,0.022619981,0.038529877,5067.999172210693,1761.4457873848091,Pop
CHE-Murat Dalkılıç,129.19921875,0.4614113,0.2939014,0.30259547,0.11837344,23.522032,192.41826,0.09704551696777344,0.07053504864155165,2236.9430093762144,799.0816955490336,2354.1749214866404,363.24347827817064,22.9776187485517,12.52056046264099,0.01723848,0.028582606,4694.877548217773,1484.7934866951146,Pop
Büyük Resim-Işın Karaca,95.703125,0.38638476,0.29903325,0.25493956,0.07326656,15.566295,104.41843,0.09923973083496093,0.052751251340181035,2326.3488602503953,755.2337927612865,2525.1955610862183,398.0546669140784,22.745892659900235,11.663039273243347,0.019589636,0.02256641,5035.505905151367,1610.50117472557,Pop
Şık Şık-Volga Tamöz,129.19921875,0.45202377,0.2830632,0.26644722,0.07250278,16.056797,117.060524,0.14146041870117188,0.073102626137441,3015.5003728808997,717.2385189427222,2826.87628362703,336.7599588008961,21.16789636737003,11.274254134153086,0.04195663,0.03573046,6428.191051483154,1347.1599251087648,Pop
Kim Kafa Tutabilmiş Aşka-Murat Dalkılıç,129.19921875,0.3475133,0.30457234,0.27617908,0.08907597,18.93909,120.984474,0.09420700073242187,0.08004320679747265,2086.9438002872776,985.0611614380836,2255.462744984413,450.1486614145635,23.708730266378858,11.97556362565959,0.014490908,0.030954001,4167.263603210449,1728.2035306447394,Pop
Eğlen Güzelim-Murat Dalkılıç,172.265625,0.32722557,0.30136153,0.27949506,0.059232965,18.048304,90.10654,0.11002082824707031,0.06264150774116925,2818.2299645786406,810.3976827356903,3052.8407535903325,351.16483634267564,22.832830396185756,11.30632200388588,0.021761011,0.025096567,6828.3637619018555,1453.6376125812583,Pop
